symbol,fecha_entrada,fecha_salida,entrada,salida,shares,pnl,resultado,capital
ABBV,2020-11-03,2020-11-06,72.33,75.02,7,18.83,WIN,4018.83
AMZN,2020-11-05,2020-11-09,162.29,156.94,2,-10.7,LOSS,4008.13
TSLA,2020-11-04,2020-11-10,142.64,137.97,2,-9.34,LOSS,3998.79
MSFT,2020-11-05,2020-11-10,208.51,205.25,2,-6.52,LOSS,3992.27
TSLA,2020-11-18,2020-11-18,154.05,149.37,1,-4.68,LOSS,3987.59
NVDA,2020-11-12,2020-12-09,13.44,13.03,20,-8.2,LOSS,3979.39
BMY,2020-12-16,2020-12-23,51.01,49.7,13,-17.03,LOSS,3962.36
META,2020-12-29,2021-01-04,275.43,263.57,1,-11.86,LOSS,3950.5
DHR,2020-12-01,2021-01-06,194.86,197.32,2,4.92,WIN,3955.42
NEM,2021-01-05,2021-01-08,54.08,53.35,9,-6.57,LOSS,3948.85
APD,2021-01-06,2021-01-12,250.49,247.97,2,-5.04,LOSS,3943.81
LIN,2021-02-08,2021-02-17,241.59,230.5,2,-22.18,LOSS,3921.63
DHR,2021-01-29,2021-02-19,201.26,204.09,2,5.66,WIN,3927.29
NKE,2021-02-03,2021-02-22,129.43,129.02,3,-1.23,LOSS,3926.06
BMY,2021-02-25,2021-03-03,51.65,49.8,12,-22.2,LOSS,3903.86
V,2021-02-05,2021-03-04,201.85,202.8,2,1.9,WIN,3905.76
NVDA,2021-03-01,2021-03-04,13.86,12.69,20,-23.4,LOSS,3882.36
ORCL,2021-02-23,2021-03-05,60.72,63.44,11,29.92,WIN,3912.28
UNP,2021-03-08,2021-03-22,187.84,185.49,2,-4.7,LOSS,3907.58
META,2021-03-10,2021-03-25,266.72,277.45,1,10.73,WIN,3918.31
AMGN,2021-03-16,2021-04-09,201.91,210.15,3,24.72,WIN,3943.03
NFLX,2021-04-05,2021-04-21,54.1,53.83,8,-2.16,LOSS,3940.87
PH,2021-05-14,2021-05-19,298.23,289.58,1,-8.65,LOSS,3932.22
TSLA,2021-06-24,2021-07-06,219.12,219.04,1,-0.08,LOSS,3932.14
EOG,2021-07-12,2021-07-15,65.23,61.96,5,-16.35,LOSS,3915.79
ABT,2021-06-29,2021-07-22,106.64,107.55,8,7.28,WIN,3923.07
BSX,2021-07-21,2021-07-27,43.05,44.24,16,19.04,WIN,3942.11
FCX,2021-07-30,2021-08-03,36.22,33.76,9,-22.14,LOSS,3919.97
MU,2021-08-04,2021-08-10,79.15,76.62,5,-12.65,LOSS,3907.32
TXN,2021-07-26,2021-08-17,163.95,162.47,3,-4.44,LOSS,3902.88
SCHW,2021-08-09,2021-08-17,68.09,67.74,7,-2.45,LOSS,3900.43
FCX,2021-08-30,2021-09-08,34.58,32.41,9,-19.53,LOSS,3880.9
AMAT,2021-08-30,2021-09-20,131.95,131.78,2,-0.34,LOSS,3880.56
UNH,2021-09-14,2021-09-22,385.38,377.5,2,-15.76,LOSS,3864.8
GE,2021-09-24,2021-10-12,63.44,61.94,6,-9.0,LOSS,3855.8
RTX,2021-09-23,2021-10-26,77.84,80.8,8,23.68,WIN,3879.48
SLB,2021-09-24,2021-10-27,26.41,29.84,11,37.73,WIN,3917.21
BSX,2021-10-20,2021-10-28,44.52,43.52,11,-11.0,LOSS,3906.21
WFC,2021-10-18,2021-11-04,43.7,45.08,9,12.42,WIN,3918.63
PEP,2021-10-07,2021-11-08,134.8,141.34,5,32.7,WIN,3951.33
MAR,2021-12-07,2021-12-17,153.56,143.0,2,-21.12,LOSS,3930.21
SCHW,2021-12-03,2021-12-20,76.0,76.12,5,0.6,WIN,3930.81
DUK,2021-12-06,2022-01-07,84.75,86.8,8,16.4,WIN,3947.21
BAC,2022-01-04,2022-01-14,41.81,43.06,14,17.5,WIN,3964.71
WFC,2022-01-04,2022-01-19,45.73,50.38,11,51.15,WIN,4015.86
SLB,2022-01-04,2022-01-21,29.1,32.91,15,57.15,WIN,4073.01
XOM,2022-01-04,2022-01-24,54.86,61.14,11,69.08,WIN,4142.09
AAPL,2022-01-31,2022-02-14,166.74,163.63,2,-6.22,LOSS,4135.87
AXP,2022-01-26,2022-02-23,166.03,180.84,2,29.62,WIN,4165.49
SCHW,2022-03-17,2022-03-31,84.19,83.11,3,-3.24,LOSS,4162.25
AMD,2022-03-25,2022-03-31,120.6,115.28,2,-10.64,LOSS,4151.61
AVGO,2022-03-16,2022-04-06,55.33,56.9,6,9.42,WIN,4161.03
SLB,2022-03-18,2022-04-07,36.36,36.3,6,-0.36,LOSS,4160.67
MAR,2022-04-14,2022-04-22,169.7,176.69,2,13.98,WIN,4174.65
PM,2022-04-07,2022-04-25,83.06,85.23,8,17.36,WIN,4192.01
BMY,2022-06-22,2022-06-30,65.75,66.21,10,4.6,WIN,4196.61
RTX,2022-07-20,2022-07-26,86.61,84.01,5,-13.0,LOSS,4183.61
BMY,2022-09-29,2022-10-10,61.95,59.42,8,-20.24,LOSS,4163.37
SLB,2022-10-04,2022-10-28,35.46,46.02,8,84.48,WIN,4247.85
COP,2022-09-29,2022-11-09,92.2,115.44,3,69.72,WIN,4317.57
LMT,2022-10-19,2022-11-11,396.84,430.92,1,34.08,WIN,4351.65
NEE,2022-11-11,2022-12-16,75.91,77.33,6,8.52,WIN,4360.17
MRK,2023-02-21,2023-02-28,100.02,98.19,7,-12.81,LOSS,4347.36
CAT,2023-03-02,2023-03-09,237.87,232.75,2,-10.24,LOSS,4337.12
DE,2023-02-21,2023-03-10,418.51,397.31,1,-21.2,LOSS,4315.92
EOG,2023-04-04,2023-04-19,110.15,106.14,3,-12.03,LOSS,4303.89
SBUX,2023-04-03,2023-04-26,96.88,101.3,8,35.36,WIN,4339.25
APD,2023-04-03,2023-04-26,267.88,265.71,2,-4.34,LOSS,4334.91
JPM,2023-04-17,2023-04-26,130.64,128.02,5,-13.1,LOSS,4321.81
PLD,2023-04-18,2023-04-26,113.0,110.02,5,-14.9,LOSS,4306.91
ETN,2023-04-28,2023-05-02,161.73,160.65,4,-4.32,LOSS,4302.59
PH,2023-05-08,2023-05-10,323.95,313.38,1,-10.57,LOSS,4292.02
PLD,2023-04-28,2023-05-16,112.64,113.12,5,2.4,WIN,4294.42
KLAC,2023-04-28,2023-05-24,375.4,398.82,1,23.42,WIN,4317.84
AMD,2023-05-08,2023-05-31,90.48,120.43,3,89.85,WIN,4407.69
NVDA,2023-08-15,2023-08-18,43.82,41.86,8,-15.68,LOSS,4392.01
AMAT,2023-08-21,2023-08-25,140.39,138.8,3,-4.77,LOSS,4387.24
BSX,2023-08-29,2023-09-05,54.02,53.11,15,-13.65,LOSS,4373.59
LOW,2023-08-23,2023-09-15,216.47,215.82,3,-1.95,LOSS,4371.64
TSLA,2023-08-30,2023-09-21,257.53,255.3,1,-2.23,LOSS,4369.41
MU,2023-10-02,2023-10-23,68.06,66.09,6,-11.82,LOSS,4357.59
COP,2023-10-10,2023-10-23,113.18,112.53,4,-2.6,LOSS,4354.99
AMZN,2023-10-31,2023-11-16,133.05,139.9,3,20.55,WIN,4375.54
NFLX,2023-10-20,2023-12-01,40.95,46.67,9,51.48,WIN,4427.02
AMD,2023-11-02,2023-12-01,108.2,118.85,3,31.95,WIN,4458.97
IBM,2023-10-27,2023-12-14,133.63,151.94,6,109.86,WIN,4568.83
PH,2023-11-03,2023-12-28,400.9,439.34,1,38.44,WIN,4607.27
ZTS,2024-02-23,2024-03-01,191.85,186.61,3,-15.72,LOSS,4591.55
MU,2024-02-23,2024-03-11,85.71,94.66,6,53.7,WIN,4645.25
INTC,2024-03-08,2024-03-13,45.99,42.84,9,-28.35,LOSS,4616.9
MMM,2024-03-13,2024-03-13,81.0,80.35,11,-7.15,LOSS,4609.75
AMZN,2024-04-29,2024-05-21,180.87,181.02,3,0.45,WIN,4610.2
TMO,2024-04-24,2024-05-24,573.16,579.25,1,6.09,WIN,4616.29
AMD,2024-05-28,2024-05-31,167.71,162.21,2,-11.0,LOSS,4605.29
VZ,2024-05-31,2024-06-10,36.01,36.0,29,-0.29,LOSS,4605.0
ABT,2024-06-10,2024-06-12,104.58,101.78,8,-22.4,LOSS,4582.6
TMO,2024-07-25,2024-07-25,571.92,572.06,1,0.14,WIN,4582.74
D,2024-07-12,2024-08-01,47.78,49.33,17,26.35,WIN,4609.09
WFC,2024-07-17,2024-08-01,58.31,55.54,9,-24.93,LOSS,4584.16
ECL,2024-08-02,2024-09-03,237.21,244.2,2,13.98,WIN,4598.14
PG,2024-08-02,2024-09-12,160.0,166.84,4,27.36,WIN,4625.5
AVGO,2024-09-12,2024-10-01,156.56,164.9,1,8.34,WIN,4633.84
AMT,2024-10-16,2024-10-21,220.04,213.24,3,-20.4,LOSS,4613.44
TSLA,2024-10-25,2024-10-31,262.17,250.93,1,-11.24,LOSS,4602.2
MMM,2024-11-07,2024-11-12,130.68,124.96,3,-17.16,LOSS,4585.04
UNH,2024-11-07,2024-11-13,584.2,583.54,1,-0.66,LOSS,4584.38
XOM,2024-11-05,2024-11-26,112.86,114.4,7,10.78,WIN,4595.16
