symbol,fecha,tipo,variante,stop_candidato,close_hoy,distancia,atr_usado,fecha_entrada,resultado_trade,pnl_trade,fecha_salida
TSN,2006-11-15,STOP_DEMASIADO_CERCA,B,10.56,10.688090324401855,0.12809032440185497,0.2679072788943887,2006-11-15,WIN,14.2,2007-01-17
PSA,2006-11-20,STOP_DEMASIADO_CERCA,B,45.93,46.81196975708008,0.8819697570800784,0.904476145997353,2006-11-07,WIN,252.95,2007-02-09
DOV,2006-11-27,STOP_DEMASIADO_CERCA,B,22.66,22.91213035583496,0.2521303558349608,0.32408495558332284,2006-11-09,WIN,7.12,2006-11-27
BBY,2006-11-27,STOP_DEMASIADO_CERCA,B,30.23,30.84580612182617,0.6158061218261679,0.8299232224028975,2006-11-20,LOSS,-16.15,2006-12-07
BBY,2006-12-07,STOP_DEMASIADO_CERCA,B,28.8,29.563621520996094,0.763621520996093,0.8518067489165885,2006-11-20,LOSS,-16.15,2006-12-07
TSN,2006-12-13,STOP_DEMASIADO_CERCA,B,11.33,11.556891441345217,0.22689144134521655,0.25441549621932186,2006-11-15,WIN,14.2,2007-01-17
GD,2006-12-13,STOP_DEMASIADO_CERCA,B,46.55,47.211891174316406,0.6618911743164091,0.6990695512977513,2006-11-16,LOSS,-6.0,2006-12-13
MBI,2007-01-03,STOP_DEMASIADO_CERCA,B,30.53,30.75755500793457,0.22755500793456918,0.3222156880360324,2006-10-27,WIN,89.43,2007-01-17
DDS,2007-01-03,STOP_DEMASIADO_CERCA,B,22.39,22.58983993530273,0.19983993530273025,0.4830338345221405,2006-11-15,LOSS,-27.91,2007-01-04
VZ,2007-01-03,STOP_DEMASIADO_CERCA,B,13.01,13.151389122009276,0.14138912200927578,0.16194656997827092,2006-12-13,WIN,11.36,2007-01-08
VZ,2007-01-05,STOP_DEMASIADO_CERCA,B,12.83,12.998387336730955,0.16838733673095518,0.1733716485440888,2006-12-13,WIN,11.36,2007-01-08
MBI,2007-01-17,STOP_DEMASIADO_CERCA,B,30.06,30.261327743530277,0.20132774353027827,0.3117315681573096,2006-10-27,WIN,89.43,2007-01-17
BK,2007-01-17,STOP_DEMASIADO_CERCA,B,27.05,27.464080810546875,0.4140808105468743,0.4147622091872797,2006-11-09,WIN,175.28,2007-02-27
KO,2007-01-18,STOP_DEMASIADO_CERCA,B,13.32,13.440200805664062,0.12020080566406222,0.12925992300350217,2006-10-20,WIN,32.12,2007-01-26
WAT,2007-01-24,STOP_DEMASIADO_CERCA,B,55.66,56.59000015258789,0.930000152587894,1.222142355782644,2007-01-09,WIN,110.37,2007-02-22
TROW,2007-01-25,STOP_DEMASIADO_CERCA,B,25.55,25.70455741882324,0.15455741882323792,0.487437589258978,2007-01-08,WIN,58.87,2007-02-23
CME,2007-01-25,STOP_DEMASIADO_CERCA,B,56.06,57.19579315185547,1.1357931518554665,1.3065568722670058,2007-01-08,WIN,83.72,2007-01-30
TROW,2007-01-26,STOP_DEMASIADO_CERCA,B,25.62,25.959917068481445,0.3399170684814443,0.5421577118326132,2007-01-08,WIN,58.87,2007-02-23
RHI,2007-01-26,STOP_DEMASIADO_CERCA,B,25.07,25.46510887145996,0.39510887145996065,0.6766123255203682,2007-01-24,LOSS,-24.05,2007-02-27
BK,2007-01-29,STOP_DEMASIADO_CERCA,B,26.98,27.38578987121582,0.4057898712158199,0.4224093861850134,2006-11-09,WIN,175.28,2007-02-27
CME,2007-01-29,STOP_DEMASIADO_CERCA,B,55.95,56.88460922241211,0.9346092224121065,1.4071752820524464,2007-01-08,WIN,83.72,2007-01-30
PSA,2007-02-08,STOP_DEMASIADO_CERCA,B,57.07,57.7745246887207,0.7045246887207028,0.9668127490498796,2006-11-07,WIN,252.95,2007-02-09
KSS,2007-02-08,STOP_DEMASIADO_CERCA,B,36.66,37.34621810913086,0.6862181091308628,0.7101312143872646,2007-02-01,WIN,11.05,2007-02-12
PSA,2007-02-09,STOP_DEMASIADO_CERCA,B,56.06,56.326290130615234,0.2662901306152321,1.129676302161042,2006-11-07,WIN,252.95,2007-02-09
TROW,2007-02-09,STOP_DEMASIADO_CERCA,B,26.31,26.75316619873047,0.44316619873047003,0.5607857381457652,2007-01-08,WIN,58.87,2007-02-23
UNM,2007-02-09,STOP_DEMASIADO_CERCA,B,13.07,13.366363525390623,0.29636352539062294,0.3197819947123799,2007-02-02,LOSS,-12.5,2007-02-09
AES,2007-02-12,STOP_DEMASIADO_CERCA,B,13.93,14.200706481933594,0.27070648193359403,0.29404395187335386,2007-02-09,LOSS,-18.27,2007-02-27
UNP,2007-02-26,STOP_DEMASIADO_CERCA,B,16.75,17.122751235961914,0.37275123596191406,0.3842807039842024,2007-01-18,WIN,75.91,2007-02-27
DTE,2007-02-26,STOP_DEMASIADO_CERCA,B,19.14,19.31136512756348,0.17136512756347955,0.21890382374020767,2007-02-14,LOSS,-40.8,2007-02-27
BK,2007-02-27,STOP_DEMASIADO_CERCA,B,28.11,27.87972640991211,-0.23027359008789006,0.4341523872471494,2006-11-09,WIN,175.28,2007-02-27
UNP,2007-02-27,STOP_DEMASIADO_CERCA,B,16.5,16.49486541748047,-0.00513458251953125,0.424664803183274,2007-01-18,WIN,75.91,2007-02-27
