symbol,clase,fecha_entrada,fecha_salida,entrada,salida,shares,pnl,resultado,capital
ABT,ACCION,2006-10-20,2006-10-30,15.0396,14.59,42,-18.88,LOSS,3991.93
PPL,ACCION,2006-10-19,2006-11-01,13.4287,13.62,71,13.58,WIN,4005.52
BDX,ACCION,2006-11-03,2006-11-09,38.9333,39.35,18,7.5,WIN,4013.02
DOV,ACCION,2006-11-09,2006-11-27,22.7775,22.97,37,7.12,WIN,4031.73
HIG,ACCION,2006-11-17,2006-11-27,57.4441,55.88,13,-20.33,LOSS,4011.4
BBY,ACCION,2006-11-20,2006-12-07,31.3156,30.23,12,-13.03,LOSS,4050.41
GD,ACCION,2006-11-16,2006-12-13,48.0715,47.61,13,-6.0,LOSS,4044.41
EXC,ACCION,2006-12-01,2006-12-22,20.8712,21.01,43,5.97,WIN,4050.38
DDS,ACCION,2006-11-15,2007-01-04,23.0502,22.43,45,-27.91,LOSS,8022.47
VZ,ACCION,2006-12-13,2007-01-05,12.8665,13.01,136,19.52,WIN,8041.99
KEY,ACCION,2006-12-14,2007-01-05,19.8749,19.93,97,5.34,WIN,8047.33
MBI,ACCION,2006-10-27,2007-01-17,29.0642,30.53,65,95.28,WIN,8184.72
TSN,ACCION,2006-11-15,2007-01-17,11.3357,11.49,92,14.2,WIN,8198.92
GOOGL,ACCION,2007-01-08,2007-01-18,12.1497,12.27,88,10.59,WIN,8209.51
PNC,ACCION,2006-11-30,2007-01-23,42.1092,42.7,46,27.18,WIN,8239.48
KO,ACCION,2006-10-20,2007-01-26,13.1057,13.32,149,31.93,WIN,8271.41
CME,ACCION,2007-01-08,2007-01-30,52.5802,56.22,23,83.72,WIN,8355.12
APA,ACCION,2007-01-22,2007-02-07,48.7138,49.54,17,14.05,WIN,8369.17
PSA,ACCION,2006-11-07,2007-02-09,47.6262,57.07,28,264.43,WIN,8633.59
UNM,ACCION,2007-02-02,2007-02-09,13.6314,13.51,103,-12.5,LOSS,8621.09
KSS,ACCION,2007-02-01,2007-02-12,36.6751,37.01,33,11.05,WIN,8632.14
WAT,ACCION,2007-01-09,2007-02-22,52.9341,56.74,29,110.37,WIN,8742.51
TROW,ACCION,2007-01-08,2007-02-23,25.2493,26.36,53,58.87,WIN,8801.38
BK,ACCION,2006-11-09,2007-02-27,26.0091,28.98,59,175.28,WIN,8976.66
UNP,ACCION,2007-01-18,2007-02-27,16.0212,17.02,77,76.91,WIN,9053.57
PH,ACCION,2007-01-19,2007-02-27,39.3922,40.93,30,46.13,WIN,9099.7
RHI,ACCION,2007-01-24,2007-02-27,26.2965,25.71,41,-24.05,LOSS,9075.66
AES,ACCION,2007-02-09,2007-02-27,14.3528,14.13,83,-18.49,LOSS,9057.16
DTE,ACCION,2007-02-14,2007-02-27,19.4743,19.14,110,-36.77,LOSS,9020.39
AVY,ACCION,2007-02-15,2007-02-27,43.249,41.96,42,-54.14,LOSS,8966.25
AMAT,ACCION,2007-02-15,2007-03-02,14.1105,13.53,66,-38.31,LOSS,8927.94
COP,ACCION,2007-02-26,2007-03-02,27.0659,25.9,40,-46.64,LOSS,8881.3
TGT,ACCION,2007-03-02,2007-03-13,37.7419,37.19,42,-23.18,LOSS,8858.12
SWK,ACCION,2007-03-07,2007-03-14,34.1597,33.81,43,-15.04,LOSS,8843.09
CME,ACCION,2007-03-08,2007-03-15,56.2339,54.12,21,-44.39,LOSS,8798.7
NYT,ACCION,2007-03-15,2007-03-21,19.9456,19.04,63,-57.05,LOSS,8741.64
UNH,ACCION,2007-03-02,2007-03-29,41.1142,41.93,27,22.03,WIN,8763.67
DRI,ACCION,2007-03-20,2007-04-11,20.5208,20.71,55,10.41,WIN,8774.08
AZO,ACCION,2007-03-08,2007-04-27,126.0,133.86,14,110.04,WIN,8896.79
BMY,ACCION,2007-03-07,2007-04-30,13.3291,14.44,106,117.76,WIN,9014.54
NUE,ACCION,2007-03-07,2007-04-30,35.5202,38.23,20,54.2,WIN,9068.74
FCX,ACCION,2007-03-07,2007-04-30,19.3373,23.44,34,139.49,WIN,9208.23
PCG,ACCION,2007-03-22,2007-04-30,31.6679,33.58,61,116.64,WIN,9324.87
ANF,ACCION,2007-04-13,2007-05-03,56.7837,55.87,20,-18.27,LOSS,9306.59
WMB,ACCION,2007-03-09,2007-05-10,9.5741,10.02,123,54.85,WIN,9361.44
DHR,ACCION,2007-05-02,2007-05-10,14.656,14.43,108,-24.41,LOSS,9337.03
GE,ACCION,2007-04-30,2007-05-14,113.9032,112.09,19,-34.45,LOSS,9302.58
NYT,ACCION,2007-05-03,2007-05-14,20.5701,20.27,56,-16.81,LOSS,9285.77
DTE,ACCION,2007-03-20,2007-05-24,19.1729,21.82,104,275.3,WIN,9561.07
TGNA,ACCION,2007-05-04,2007-05-24,17.4404,17.33,105,-11.59,LOSS,9549.48
ADBE,ACCION,2007-05-14,2007-05-24,41.88,42.33,24,10.8,WIN,9560.28
MRK,ACCION,2007-04-02,2007-05-30,21.7604,26.21,65,289.22,WIN,9849.5
FISV,ACCION,2007-05-29,2007-06-05,13.4975,14.49,114,113.14,WIN,9962.65
PFG,ACCION,2007-05-14,2007-06-06,33.9727,33.3,54,-36.33,LOSS,9926.32
HD,ACCION,2007-05-03,2007-06-07,24.1417,23.7,58,-25.62,LOSS,9900.71
SYK,ACCION,2007-05-17,2007-06-07,53.4202,53.08,34,-11.57,LOSS,9889.14
DHR,ACCION,2007-05-29,2007-06-07,14.6299,14.42,109,-22.88,LOSS,9866.26
NUE,ACCION,2007-05-31,2007-06-07,40.2282,38.69,23,-35.38,LOSS,9830.88
COST,ACCION,2007-05-09,2007-06-12,37.6743,37.99,36,11.37,WIN,9842.25
GOOGL,ACCION,2007-05-17,2007-06-12,11.7933,12.56,112,85.87,WIN,9928.12
CL,ACCION,2007-06-12,2007-06-19,21.7002,21.2,102,-51.02,LOSS,9877.1
BK,ACCION,2007-06-14,2007-06-20,28.7266,28.63,66,-6.38,LOSS,9870.72
OMC,ACCION,2007-06-11,2007-06-22,30.4707,30.03,75,-33.05,LOSS,9837.67
LMT,ACCION,2007-06-11,2007-06-22,55.4485,54.1,32,-43.15,LOSS,9794.52
GNW,ACCION,2007-06-11,2007-06-25,34.6707,33.65,50,-51.03,LOSS,9743.48
BMS,ACCION,2007-06-20,2007-06-25,23.7608,23.05,72,-51.18,LOSS,9692.3
COP,ACCION,2007-03-09,2007-06-26,27.2255,31.23,40,160.18,WIN,9852.48
ITW,ACCION,2007-06-12,2007-06-26,33.617,34.74,49,55.03,WIN,9907.51
F,ACCION,2007-06-11,2007-07-05,4.2733,4.68,233,94.76,WIN,10002.27
TGT,ACCION,2007-05-25,2007-07-10,37.1133,40.51,41,139.26,WIN,10141.54
HAS,ACCION,2007-06-26,2007-07-10,17.9835,17.7,90,-25.52,LOSS,10116.02
SVU,ACCION,2007-07-13,2007-07-19,274.5327,278.5,7,27.77,WIN,10143.79
R,ACCION,2007-06-25,2007-07-24,33.1973,32.55,42,-27.19,LOSS,10116.61
NKE,ACCION,2007-06-28,2007-07-24,11.4055,11.31,140,-13.37,LOSS,10103.24
EIX,ACCION,2007-06-28,2007-07-24,28.4247,29.23,57,45.9,WIN,10149.14
EMN,ACCION,2007-07-03,2007-07-24,19.1583,19.97,98,79.55,WIN,10228.68
UNP,ACCION,2007-07-12,2007-07-25,19.9456,21.05,79,87.25,WIN,10315.93
BMY,ACCION,2007-06-14,2007-07-26,14.8345,15.61,111,86.08,WIN,10402.01
PPG,ACCION,2007-07-02,2007-07-26,25.7259,26.69,85,81.95,WIN,10483.96
CLX,ACCION,2007-07-25,2007-07-26,37.4401,36.46,61,-59.79,LOSS,10424.18
GPC,ACCION,2007-07-25,2007-07-26,28.2394,27.45,79,-62.36,LOSS,10361.81
MUR,ACCION,2007-06-29,2007-07-27,28.1012,29.74,45,73.75,WIN,10435.56
MRK,ACCION,2007-07-24,2007-07-27,26.4498,25.59,67,-57.61,LOSS,10377.95
CL,ACCION,2007-07-12,2007-07-30,21.6005,22.13,111,58.77,WIN,10436.73
F,ACCION,2007-07-31,2007-08-01,4.5022,4.3,253,-51.16,LOSS,10385.57
BDX,ACCION,2007-07-30,2007-08-03,43.3112,42.62,50,-34.56,LOSS,10351.01
DE,ACCION,2007-07-31,2007-08-03,43.1235,41.83,31,-40.1,LOSS,10310.91
IFF,ACCION,2007-08-02,2007-08-03,33.7861,32.69,55,-60.29,LOSS,10250.63
NEE,ACCION,2007-08-02,2007-08-03,8.6094,8.25,158,-56.79,LOSS,10193.84
TAP,ACCION,2007-08-07,2007-08-07,29.3332,29.59,61,15.66,WIN,10209.51
HON,ACCION,2007-08-03,2007-08-09,34.9723,33.7,50,-63.61,LOSS,10145.89
MCK,ACCION,2007-08-07,2007-08-09,53.5299,51.29,29,-64.96,LOSS,10080.93
CAT,ACCION,2007-08-02,2007-08-14,49.9578,47.94,23,-46.41,LOSS,10034.52
ORCL,ACCION,2007-08-02,2007-08-14,15.8969,15.5,95,-37.71,LOSS,9996.82
NEE,ACCION,2007-08-07,2007-08-14,8.8023,8.65,127,-19.34,LOSS,9977.48
AEP,ACCION,2007-08-08,2007-08-14,23.0124,21.97,45,-46.91,LOSS,9930.57
BBBY,ACCION,2007-08-02,2007-08-15,19.22,20.3,35,37.8,WIN,9968.37
CVS,ACCION,2007-08-07,2007-08-15,24.8315,24.79,56,-2.32,LOSS,9966.04
NOC,ACCION,2007-08-13,2007-08-15,47.1726,46.12,29,-30.53,LOSS,9935.52
FNMA,ACCION,2007-08-17,2007-08-28,63.7446,61.65,10,-20.95,LOSS,9914.57
TRV,ACCION,2007-08-17,2007-08-28,33.9924,32.65,24,-32.22,LOSS,9882.36
MDT,ACCION,2007-08-02,2007-08-30,34.256,34.23,47,-1.22,LOSS,9881.13
APD,ACCION,2007-08-20,2007-09-10,50.8609,51.78,30,27.57,WIN,9910.35
ESRX,ACCION,2007-08-22,2007-09-14,25.975,26.65,43,29.02,WIN,9966.84
NOC,ACCION,2007-08-20,2007-09-28,47.0965,47.52,35,14.82,WIN,9981.66
F,ACCION,2007-09-18,2007-10-01,4.314,4.31,244,-0.98,LOSS,9980.69
COP,ACCION,2007-08-30,2007-10-02,33.1467,34.55,37,51.92,WIN,10032.61
CVG,ACCION,2007-09-05,2007-10-04,10.9447,11.4,220,100.17,WIN,10132.78
KMB,ACCION,2007-08-07,2007-10-15,34.3297,34.54,53,11.15,WIN,10143.92
PPL,ACCION,2007-10-05,2007-10-15,19.7761,19.97,76,14.74,WIN,10158.66
BEN,ACCION,2007-10-02,2007-10-16,22.5357,23.27,54,39.65,WIN,10198.31
FNMA,ACCION,2007-10-03,2007-10-16,62.9351,62.19,17,-12.67,LOSS,10185.64
NOV,ACCION,2007-08-21,2007-10-17,41.1562,53.73,21,264.05,WIN,10449.69
DE,ACCION,2007-08-20,2007-10-19,45.2348,52.71,26,194.36,WIN,10644.05
CL,ACCION,2007-08-20,2007-10-19,21.7401,23.49,85,148.74,WIN,10792.79
MUR,ACCION,2007-08-31,2007-10-19,29.1955,36.15,43,299.04,WIN,11091.83
CSX,ACCION,2007-10-09,2007-11-01,3.5569,3.5,295,-16.79,LOSS,11075.05
KMB,ACCION,2007-10-25,2007-11-07,34.9121,34.2,68,-48.42,LOSS,11026.62
AON,ACCION,2007-10-25,2007-11-07,36.2955,38.09,47,84.34,WIN,11110.97
PCAR,ACCION,2007-10-25,2007-11-07,20.314,18.88,46,-65.96,LOSS,11045.0
SLB,ACCION,2007-10-25,2007-11-07,67.0161,62.59,15,-66.39,LOSS,10978.61
DTE,ACCION,2007-10-26,2007-11-07,20.331,20.04,88,-25.61,LOSS,10953.0
ITT,ACCION,2007-10-29,2007-11-09,17.3309,16.63,75,-52.57,LOSS,10900.44
UNM,ACCION,2007-11-06,2007-11-09,15.7776,14.9,66,-57.92,LOSS,10842.51
COP,ACCION,2007-10-29,2007-11-12,34.4488,32.96,41,-61.04,LOSS,10781.47
EMN,ACCION,2007-10-29,2007-11-12,19.201,18.45,83,-62.33,LOSS,10719.14
GPC,ACCION,2007-11-14,2007-11-14,28.0681,27.13,69,-64.73,LOSS,10654.41
ANF,ACCION,2007-11-14,2007-11-16,55.2899,52.22,21,-64.47,LOSS,10589.94
TJX,ACCION,2007-11-13,2007-11-19,5.8691,5.71,196,-31.18,LOSS,10558.76
INTC,ACCION,2007-11-14,2007-11-19,15.9823,15.43,93,-51.36,LOSS,10507.4
GIS,ACCION,2007-11-14,2007-11-19,15.7216,15.42,145,-43.73,LOSS,10463.66
MCD,ACCION,2007-09-11,2007-11-26,30.6538,34.34,67,246.98,WIN,10706.77
SYK,ACCION,2007-11-14,2007-11-26,57.0001,55.92,29,-31.32,LOSS,10675.45
NOC,ACCION,2007-11-26,2007-11-29,48.9473,47.42,34,-51.93,LOSS,10623.52
DE,ACCION,2007-11-23,2007-12-11,54.3636,60.16,17,98.54,WIN,10722.06
GIS,ACCION,2007-11-28,2007-12-11,15.9526,16.18,135,30.7,WIN,10752.75
INTC,ACCION,2007-11-30,2007-12-11,16.1835,16.43,86,21.2,WIN,10773.95
BIIB,ACCION,2007-11-30,2007-12-13,73.11,74.89,17,30.26,WIN,10804.21
CB,ACCION,2007-11-14,2007-12-14,41.252,40.84,26,-10.71,LOSS,10793.5
MDLZ,ACCION,2007-11-30,2007-12-14,14.3625,14.03,105,-34.91,LOSS,10758.59
BMY,ACCION,2007-11-30,2007-12-14,14.9941,14.35,95,-61.19,LOSS,10697.4
AAPL,ACCION,2007-11-14,2007-12-17,5.2346,5.57,185,62.05,WIN,10759.45
DHR,ACCION,2007-11-28,2007-12-17,17.2788,17.18,88,-8.69,LOSS,10750.75
CMI,ACCION,2007-12-14,2007-12-17,41.3578,38.34,19,-57.34,LOSS,10693.42
MMM,ACCION,2007-12-14,2008-01-02,42.2522,40.84,42,-59.31,LOSS,14634.1
STZ,ACCION,2007-12-14,2008-01-02,20.9308,20.0,55,-51.19,LOSS,14582.91
TMO,ACCION,2007-12-24,2008-01-02,55.5284,53.66,29,-54.18,LOSS,14528.73
IBM,ACCION,2007-12-24,2008-01-02,58.6533,56.62,26,-52.87,LOSS,14475.86
AMZN,ACCION,2007-12-21,2008-01-04,4.6469,4.57,307,-23.61,LOSS,14452.25
INTU,ACCION,2007-12-24,2008-01-04,27.8247,26.9,64,-59.18,LOSS,14393.07
RIG,ACCION,2007-12-24,2008-01-07,115.1637,112.63,14,-35.47,LOSS,14357.6
NEM,ACCION,2008-01-03,2008-01-07,36.7244,36.06,46,-30.56,LOSS,14327.04
BK,ACCION,2007-11-30,2008-01-08,31.1974,30.98,46,-10.0,LOSS,14317.04
KO,ACCION,2008-01-08,2008-01-11,18.1372,18.29,167,25.52,WIN,14342.55
ETR,ACCION,2007-12-21,2008-01-15,27.9777,28.85,76,66.29,WIN,14408.85
AES,ACCION,2008-01-08,2008-01-15,14.1805,13.47,104,-73.89,LOSS,14334.96
MRK,ACCION,2008-01-09,2008-01-15,30.51,29.45,75,-79.5,LOSS,14255.46
MCK,ACCION,2008-01-09,2008-01-15,58.163,56.86,38,-49.51,LOSS,14205.94
NEE,ACCION,2008-01-07,2008-01-16,10.1701,10.3,210,27.28,WIN,14233.22
BDX,ACCION,2007-12-19,2008-01-17,46.9504,50.23,53,173.82,WIN,14407.04
AEP,ACCION,2008-01-08,2008-01-17,23.256,22.88,90,-33.84,LOSS,14373.2
