symbol,clase,fecha_entrada,fecha_salida,entrada,salida,shares,pnl,resultado,capital
ABT,ACCION,2006-10-20,2006-10-30,15.0396,14.59,42,-18.88,LOSS,3991.93
PPL,ACCION,2006-10-19,2006-11-01,13.4287,13.62,71,13.58,WIN,4005.52
BDX,ACCION,2006-11-03,2006-11-09,38.9333,39.35,18,7.5,WIN,4013.02
DOV,ACCION,2006-11-09,2006-11-27,22.7775,22.97,37,7.12,WIN,4031.73
HIG,ACCION,2006-11-17,2006-11-27,57.4441,55.88,13,-20.33,LOSS,4011.4
BBY,ACCION,2006-11-20,2006-12-07,31.3156,29.97,12,-16.15,LOSS,4047.29
GD,ACCION,2006-11-16,2006-12-13,48.0715,47.61,13,-6.0,LOSS,4041.29
EXC,ACCION,2006-12-01,2006-12-22,20.8712,21.01,43,5.97,WIN,4047.26
DDS,ACCION,2006-11-15,2007-01-04,23.0502,22.43,45,-27.91,LOSS,8019.35
KEY,ACCION,2006-12-14,2007-01-05,19.872,19.93,96,5.57,WIN,8024.92
VZ,ACCION,2006-12-13,2007-01-08,12.8665,12.95,136,11.36,WIN,8036.27
MBI,ACCION,2006-10-27,2007-01-17,29.0642,30.44,65,89.43,WIN,8167.82
TSN,ACCION,2006-11-15,2007-01-17,11.3357,11.49,92,14.2,WIN,8182.01
GOOGL,ACCION,2007-01-08,2007-01-18,12.1497,12.27,88,10.59,WIN,8192.6
PNC,ACCION,2006-11-30,2007-01-23,42.1092,42.7,46,27.18,WIN,8222.71
KO,ACCION,2006-10-20,2007-01-26,13.103,13.32,148,32.12,WIN,8254.82
CME,ACCION,2007-01-08,2007-01-30,52.5802,56.22,23,83.72,WIN,8338.54
APA,ACCION,2007-01-22,2007-02-07,48.7138,49.54,17,14.05,WIN,8352.58
PSA,ACCION,2006-11-07,2007-02-09,47.6262,56.66,28,252.95,WIN,8605.53
UNM,ACCION,2007-02-02,2007-02-09,13.6314,13.51,103,-12.5,LOSS,8593.03
KSS,ACCION,2007-02-01,2007-02-12,36.6751,37.01,33,11.05,WIN,8604.08
WAT,ACCION,2007-01-09,2007-02-22,52.9341,56.74,29,110.37,WIN,8714.45
TROW,ACCION,2007-01-08,2007-02-23,25.2493,26.36,53,58.87,WIN,8773.32
BK,ACCION,2006-11-09,2007-02-27,26.0091,28.98,59,175.28,WIN,8948.6
UNP,ACCION,2007-01-18,2007-02-27,16.0212,17.02,76,75.91,WIN,9024.51
PH,ACCION,2007-01-19,2007-02-27,39.3922,40.93,30,46.13,WIN,9070.64
RHI,ACCION,2007-01-24,2007-02-27,26.2965,25.71,41,-24.05,LOSS,9046.6
AES,ACCION,2007-02-09,2007-02-27,14.3528,14.13,82,-18.27,LOSS,9028.33
DTE,ACCION,2007-02-14,2007-02-27,19.4743,19.1,109,-40.8,LOSS,8987.53
AVY,ACCION,2007-02-15,2007-02-27,43.249,41.96,42,-54.14,LOSS,8933.39
AMAT,ACCION,2007-02-15,2007-03-02,14.1105,13.53,66,-38.31,LOSS,8895.08
COP,ACCION,2007-02-26,2007-03-02,27.0659,25.9,40,-46.64,LOSS,8848.44
TGT,ACCION,2007-03-02,2007-03-14,37.7419,36.83,42,-38.3,LOSS,8810.14
SWK,ACCION,2007-03-07,2007-03-14,34.1597,33.47,43,-29.66,LOSS,8780.48
CME,ACCION,2007-03-08,2007-03-15,56.2339,54.12,21,-44.39,LOSS,8736.09
NYT,ACCION,2007-03-15,2007-03-21,19.9456,19.04,63,-57.05,LOSS,8679.04
UNH,ACCION,2007-03-02,2007-03-29,41.1142,41.93,27,22.03,WIN,8701.07
DRI,ACCION,2007-03-20,2007-04-11,20.5208,20.71,55,10.41,WIN,8711.47
NUE,ACCION,2007-03-07,2007-04-30,35.5202,38.23,20,54.2,WIN,8778.34
FCX,ACCION,2007-03-07,2007-04-30,19.3373,23.44,33,135.39,WIN,8913.73
PCG,ACCION,2007-03-22,2007-04-30,31.6679,33.58,60,114.73,WIN,9028.45
ANF,ACCION,2007-04-13,2007-05-03,56.7837,55.87,20,-18.27,LOSS,9010.18
WMB,ACCION,2007-03-09,2007-05-10,9.5741,10.02,122,54.4,WIN,9064.58
DHR,ACCION,2007-05-02,2007-05-10,14.656,14.43,104,-23.5,LOSS,9041.08
NYT,ACCION,2007-05-03,2007-05-14,20.5701,20.27,54,-16.21,LOSS,9024.87
AZO,ACCION,2007-03-08,2007-05-15,126.0,131.91,14,82.74,WIN,9107.61
DTE,ACCION,2007-03-20,2007-05-24,19.1729,21.82,103,272.65,WIN,9380.26
TGNA,ACCION,2007-05-04,2007-05-24,17.4404,17.33,101,-11.15,LOSS,9369.11
ADBE,ACCION,2007-05-14,2007-05-24,41.88,42.33,24,10.8,WIN,9379.91
MRK,ACCION,2007-04-02,2007-05-30,21.7604,26.0,65,275.57,WIN,9655.48
FISV,ACCION,2007-05-29,2007-06-05,13.4975,14.49,112,111.16,WIN,9766.64
BMY,ACCION,2007-03-07,2007-06-07,13.3291,14.63,105,136.59,WIN,9903.24
HD,ACCION,2007-05-03,2007-06-07,24.1417,23.7,56,-24.74,LOSS,9878.5
PFG,ACCION,2007-05-14,2007-06-07,33.9727,33.18,53,-42.01,LOSS,9836.49
SYK,ACCION,2007-05-17,2007-06-07,53.4202,53.08,33,-11.23,LOSS,9825.26
DHR,ACCION,2007-05-29,2007-06-07,14.6299,14.42,107,-22.46,LOSS,9802.81
NUE,ACCION,2007-05-31,2007-06-07,40.2282,38.69,23,-35.38,LOSS,9767.43
CL,ACCION,2007-06-12,2007-06-19,21.7002,21.2,102,-51.02,LOSS,9716.41
OMC,ACCION,2007-06-11,2007-06-22,30.4707,29.98,74,-36.31,LOSS,9680.09
LMT,ACCION,2007-06-11,2007-06-22,55.4485,54.1,32,-43.15,LOSS,9636.94
BK,ACCION,2007-06-14,2007-06-22,28.7266,28.22,65,-32.93,LOSS,9604.01
GNW,ACCION,2007-06-11,2007-06-25,34.6707,33.65,50,-51.03,LOSS,9552.98
BMS,ACCION,2007-06-20,2007-06-25,23.7608,23.05,71,-50.47,LOSS,9502.51
COP,ACCION,2007-03-09,2007-06-26,27.2255,31.23,39,156.18,WIN,9658.69
ITW,ACCION,2007-06-12,2007-06-26,33.617,34.39,49,37.88,WIN,9696.56
F,ACCION,2007-06-11,2007-07-05,4.2733,4.66,232,89.71,WIN,9786.28
TGT,ACCION,2007-05-25,2007-07-10,37.1133,40.51,40,135.87,WIN,9922.15
GOOGL,ACCION,2007-05-17,2007-07-20,11.7933,13.33,109,167.5,WIN,10089.65
HAS,ACCION,2007-06-26,2007-07-23,17.9835,17.63,88,-31.11,LOSS,10058.54
R,ACCION,2007-06-25,2007-07-24,33.1973,32.55,42,-27.19,LOSS,10031.35
NKE,ACCION,2007-06-28,2007-07-24,11.4055,11.31,137,-13.08,LOSS,10018.27
EIX,ACCION,2007-06-28,2007-07-24,28.4247,29.23,56,45.1,WIN,10063.37
UNP,ACCION,2007-07-12,2007-07-25,19.9456,20.81,77,66.56,WIN,10129.92
PPG,ACCION,2007-07-02,2007-07-26,25.7259,26.69,83,80.02,WIN,10236.95
EMN,ACCION,2007-07-03,2007-07-26,19.1583,19.42,96,25.12,WIN,10262.07
AFL,ACCION,2007-07-24,2007-07-26,16.9033,17.46,99,55.11,WIN,10317.18
CLX,ACCION,2007-07-25,2007-07-26,37.4401,36.46,60,-58.81,LOSS,10258.38
MUR,ACCION,2007-06-29,2007-07-27,28.1012,29.74,44,72.11,WIN,10330.49
MRK,ACCION,2007-07-24,2007-07-27,26.4498,25.44,67,-67.66,LOSS,10262.83
GPC,ACCION,2007-07-25,2007-07-27,28.2394,27.1495,78,-85.01,LOSS,10177.82
CL,ACCION,2007-07-12,2007-07-30,21.6005,22.13,109,57.72,WIN,10235.53
BDX,ACCION,2007-07-30,2007-08-03,43.3112,42.62,49,-33.87,LOSS,10201.66
F,ACCION,2007-07-31,2007-08-03,4.5022,4.1528,248,-86.65,LOSS,10115.01
IFF,ACCION,2007-08-02,2007-08-03,33.7861,32.69,54,-59.19,LOSS,10055.82
NEE,ACCION,2007-08-02,2007-08-03,8.6094,8.25,155,-55.71,LOSS,10000.12
TAP,ACCION,2007-08-07,2007-08-08,29.3332,27.9346,60,-83.92,LOSS,9917.42
MCK,ACCION,2007-08-07,2007-08-09,53.5299,50.5927,28,-82.24,LOSS,9835.18
DE,ACCION,2007-07-31,2007-08-10,43.1235,41.65,24,-35.36,LOSS,9784.08
HON,ACCION,2007-08-03,2007-08-10,34.9723,33.31,39,-64.83,LOSS,9719.25
CAT,ACCION,2007-08-02,2007-08-14,49.9578,47.94,23,-46.41,LOSS,9693.69
NEE,ACCION,2007-08-07,2007-08-14,8.8023,8.65,125,-19.04,LOSS,9674.65
BBBY,ACCION,2007-08-02,2007-08-15,19.22,20.3,27,29.16,WIN,9703.81
CVS,ACCION,2007-08-07,2007-08-15,24.8315,24.79,55,-2.28,LOSS,9701.53
FNMA,ACCION,2007-08-17,2007-08-28,63.7446,61.65,10,-20.95,LOSS,9680.58
APD,ACCION,2007-08-20,2007-09-10,50.8609,51.78,30,27.57,WIN,9708.16
ESRX,ACCION,2007-08-22,2007-09-14,25.975,26.65,42,28.35,WIN,9763.97
TRV,ACCION,2007-08-17,2007-09-24,33.6014,32.68,35,-32.25,LOSS,9731.72
NOC,ACCION,2007-08-13,2007-09-28,47.3802,47.5,39,4.67,WIN,9736.4
F,ACCION,2007-09-18,2007-10-01,4.314,4.31,239,-0.96,LOSS,9735.44
COP,ACCION,2007-08-30,2007-10-02,33.1467,34.55,36,50.52,WIN,9785.96
MDT,ACCION,2007-08-02,2007-10-15,34.5134,36.37,49,90.97,WIN,9876.93
KMB,ACCION,2007-08-07,2007-10-15,34.3297,34.54,52,10.94,WIN,9887.87
PPL,ACCION,2007-10-05,2007-10-15,19.7761,19.97,74,14.35,WIN,9902.22
FNMA,ACCION,2007-10-03,2007-10-16,62.9351,62.19,16,-11.92,LOSS,9890.3
DE,ACCION,2007-08-20,2007-10-19,45.2329,52.3,26,183.74,WIN,10074.04
CL,ACCION,2007-08-20,2007-10-19,21.7424,23.49,83,145.05,WIN,10219.09
NOV,ACCION,2007-08-21,2007-10-19,40.4179,52.05,19,221.01,WIN,10440.1
BEN,ACCION,2007-10-02,2007-10-19,22.5357,23.0,52,24.14,WIN,10464.24
ADP,ACCION,2007-09-26,2007-10-24,25.9996,26.2,72,14.43,WIN,10478.67
KMB,ACCION,2007-10-25,2007-11-07,34.9121,34.2,64,-45.57,LOSS,10433.1
PCAR,ACCION,2007-10-25,2007-11-07,20.314,18.74,44,-69.26,LOSS,10363.84
DTE,ACCION,2007-10-26,2007-11-07,20.331,20.0,83,-27.47,LOSS,10336.37
CSCO,ACCION,2007-10-29,2007-11-08,20.8203,21.14,72,23.02,WIN,10374.97
ITT,ACCION,2007-10-29,2007-11-09,17.3309,16.63,71,-49.76,LOSS,10325.21
SLB,ACCION,2007-10-25,2007-11-12,67.0161,62.16,14,-67.99,LOSS,10257.22
COP,ACCION,2007-10-29,2007-11-12,34.4488,32.96,38,-56.57,LOSS,10200.65
EMN,ACCION,2007-10-29,2007-11-12,19.201,18.45,79,-59.33,LOSS,10141.32
TJX,ACCION,2007-11-13,2007-11-19,5.8691,5.71,186,-29.59,LOSS,10111.73
GPC,ACCION,2007-11-14,2007-11-19,28.0681,26.7485,65,-85.77,LOSS,10025.95
GIS,ACCION,2007-11-14,2007-11-19,15.7216,15.42,137,-41.32,LOSS,9984.63
MCD,ACCION,2007-09-11,2007-11-26,29.8015,34.34,49,222.39,WIN,10207.02
INTC,ACCION,2007-11-14,2007-11-26,15.9823,15.0032,88,-86.16,LOSS,10120.86
SYK,ACCION,2007-11-14,2007-11-26,57.0001,55.92,27,-29.16,LOSS,10091.7
AON,ACCION,2007-10-25,2007-12-11,36.2955,39.94,35,127.56,WIN,10219.25
DE,ACCION,2007-11-23,2007-12-11,54.3636,60.16,16,92.74,WIN,10312.0
NOC,ACCION,2007-11-26,2007-12-11,48.9473,49.52,32,18.33,WIN,10330.32
GIS,ACCION,2007-11-28,2007-12-11,15.9526,16.18,128,29.11,WIN,10359.43
BIIB,ACCION,2007-11-30,2007-12-13,73.11,71.79,16,-21.12,LOSS,10338.31
MDLZ,ACCION,2007-11-30,2007-12-14,14.3625,14.03,100,-33.25,LOSS,10305.06
AAPL,ACCION,2007-11-14,2007-12-17,5.1731,5.54,157,57.6,WIN,10362.66
HAL,ACCION,2007-12-13,2007-12-17,28.7693,27.28,44,-65.53,LOSS,10297.13
CMI,ACCION,2007-12-14,2007-12-17,41.3578,38.34,18,-54.32,LOSS,10242.81
MMM,ACCION,2007-12-14,2008-01-02,42.2522,40.55,40,-68.09,LOSS,14174.72
STZ,ACCION,2007-12-14,2008-01-02,20.9308,20.0,52,-48.4,LOSS,14126.32
CB,ACCION,2007-11-14,2008-01-04,41.5291,41.9,38,14.09,WIN,14140.42
DHR,ACCION,2007-11-28,2008-01-04,17.2915,17.14,126,-19.09,LOSS,14121.33
AMZN,ACCION,2007-12-21,2008-01-04,4.6505,4.57,300,-24.15,LOSS,14097.18
INTU,ACCION,2007-12-24,2008-01-04,27.8138,26.9,63,-57.57,LOSS,14039.61
RIG,ACCION,2007-12-24,2008-01-07,114.6675,112.63,9,-18.34,LOSS,14021.27
NEM,ACCION,2008-01-03,2008-01-07,36.7244,36.06,45,-29.9,LOSS,13991.37
BK,ACCION,2007-11-30,2008-01-08,31.1889,30.98,45,-9.4,LOSS,13981.97
KO,ACCION,2008-01-08,2008-01-11,18.1372,18.29,163,24.91,WIN,14006.88
ETR,ACCION,2007-12-21,2008-01-15,27.9741,28.85,74,64.82,WIN,14071.7
AES,ACCION,2008-01-08,2008-01-15,14.1805,13.47,102,-72.47,LOSS,13999.22
MRK,ACCION,2008-01-09,2008-01-15,30.51,29.45,73,-77.38,LOSS,13921.84
MCK,ACCION,2008-01-09,2008-01-15,58.163,56.86,37,-48.21,LOSS,13873.63
NEE,ACCION,2008-01-07,2008-01-16,10.1701,10.15,204,-4.1,LOSS,13869.53
BDX,ACCION,2007-12-19,2008-01-17,47.0081,50.23,52,167.54,WIN,14037.07
AEP,ACCION,2008-01-08,2008-01-17,23.256,22.88,88,-33.09,LOSS,14003.98
AIZ,ACCION,2008-01-14,2008-01-17,47.08,45.75,38,-50.54,LOSS,13953.44
JNJ,ACCION,2008-01-08,2008-01-18,39.3392,39.2,89,-12.39,LOSS,13941.06
BAX,ACCION,2008-01-08,2008-01-22,22.8962,23.91,79,80.09,WIN,14047.82
AFL,ACCION,2008-01-24,2008-02-05,20.1228,18.97,74,-85.31,LOSS,13962.51
MO,ACCION,2008-01-30,2008-02-05,7.7613,7.39,262,-97.28,LOSS,13865.23
AIZ,ACCION,2008-01-24,2008-02-07,47.1501,44.22,29,-84.97,LOSS,13780.26
CB,ACCION,2008-01-24,2008-02-11,41.6364,39.44,32,-70.28,LOSS,13709.97
STT,ACCION,2008-01-24,2008-02-29,54.4713,53.27,19,-22.82,LOSS,13687.15
YUM,ACCION,2008-01-25,2008-02-29,18.7852,17.76,75,-76.89,LOSS,13610.26
JEF,ACCION,2008-02-04,2008-03-04,29.0546,28.34,43,-30.73,LOSS,13579.53
CVS,ACCION,2008-02-01,2008-03-06,26.1892,26.5,57,17.72,WIN,13597.24
DVN,ACCION,2008-02-04,2008-03-07,54.4598,63.28,23,202.86,WIN,13800.11
