de_anio,a_anio,tipo,ticker_baja,empresa_baja,ticker_alta,empresa_alta,similitud_nombre
2017,2018,POSIBLE_RENAME_O_FUSION,HCN,WELLTOWER INC,WELL,WELLTOWER INC,1.0
2017,2018,POSIBLE_RENAME_O_FUSION,CBG,CBRE GROUP INC,CBRE,CBRE GROUP INC,1.0
2017,2018,BAJA,ACAD,ACADIA PHARMACEUTICALS,,,
2017,2018,BAJA,AKRX,AKORN INC,,,
2017,2018,BAJA,ALR,ALERE INC,,,
2017,2018,BAJA,AWH,ALLIED WRLD ASSUR COM,,,
2017,2018,BAJA,BBBY,BED BATH & BEYOND INC,,,
2017,2018,BAJA,BCR,CR BARD INC,,,
2017,2018,BAJA,BHI,BAKER HUGHES INC,,,
2017,2018,BAJA,BIVV,BIOVERATIV,,,
2017,2018,BAJA,BKD,BROOKDALE SENIOR LIVING,,,
2017,2018,BAJA,BKFS,BLACK KNIGHT FINL SVCS,,,
2017,2018,BAJA,BRCD,BROCADE COMMUNICATIONS,,,
2017,2018,BAJA,BUFF,BLUE BUFFALO PET PROD,,,
2017,2018,BAJA,CAA,CALATLANTIC GROUP INC,,,
2017,2018,BAJA,CAB,CABELAS INC,,,
2017,2018,BAJA,CLNS,COLONY NORTHSTAR INC,,,
2017,2018,BAJA,COH,COACH INC,,,
2017,2018,BAJA,CPN,CALPINE CORP,,,
2017,2018,BAJA,CSRA,CSRA INC,,,
2017,2018,BAJA,CST,CST BRANDS INC,,,
2017,2018,BAJA,CXW,CORECIVIC INC,,,
2017,2018,BAJA,DD,DU PONT E I DE NEMOURS,,,
2017,2018,BAJA,DFT,DUPONT FABROS TECHNOLOGY,,,
2017,2018,BAJA,DLPH,DELPHI AUTOMOTIVE PLC,,,
2017,2018,BAJA,DOW,DOW CHEMICAL CO,,,
2017,2018,BAJA,DST,DST SYSTEMS INC,,,
2017,2018,BAJA,ENDP,ENDO INTERNATIONAL PLC,,,
2017,2018,BAJA,EPC,EDGEWELL PERSONAL CARE,,,
2017,2018,BAJA,FII,FEDERATED INVESTORS INC,,,
2017,2018,BAJA,GME,GAMESTOP CORP,,,
2017,2018,BAJA,GPOR,GULFPORT ENERGY CORP,,,
2017,2018,BAJA,GXP,GREAT PLAINS ENERGY INC,,,
2017,2018,BAJA,ICPT,INTERCEPT PHARMA INC,,,
2017,2018,BAJA,INT,WORLD FUEL SVCS CORP,,,
2017,2018,BAJA,JUNO,JUNO THERAPEUTICS INC,,,
2017,2018,BAJA,KATE,KATE SPADE & CO,,,
